mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
1122.0248_4.125,21079.459450000002,678.1524745833333,31.083657790899498,2.92e-9,4.95808437875806,8.534617148551582
1122.0249_4.032,19972.428533333332,822.6394779166667,24.278470787608537,3.32e-8,4.601605649239936,7.478861916295964
201.0227_4.086,338825.9195,3763.872275,90.0205678472445,9.19e-9,6.492182760119822,8.036684488613888
201.0228_4.555,1459009.2466666666,9130.217683333332,159.80005047743833,3.99e-9,7.320124053757376,8.399027104313252
215.0021_3.307,41639.901333333335,10474.944691666667,3.9751905674938715,9.98e-6,1.9910240237147983,5.000869458712629
217.0172_4.4,66284.46233333333,14656.732383333332,4.522458389750477,1.05e-4,2.1771072289544646,3.9788107009300617
217.0173_3.88,29370.712,13371.517425,2.196513010938248,0.00307,1.1352150451900616,2.5128616245228135
253.0503_5.048,29906.019366666667,1316.5443266666666,22.715543078131784,1.05e-5,4.505607892325234,4.978810700930062
255.0674_5.078,11540.338391666666,1003.9501904166666,11.494931224503391,0.00213,3.5229259291587907,2.6716203965612624
257.0816_6.056,11504.552341666667,611.5919041666667,18.810831640000792,1.79e-5,4.233491727713515,4.747146969020107
295.0806_3.721,7227.058666666667,3136.876533333333,2.3039028121986656,0.0112,1.2040798594380653,1.9507819773298183
295.0815_4.242,17214.603675,5712.350375,3.013576294328759,0.0019,1.5914765897820506,2.721246399047171
297.0975_4.072,129868.26741666667,2612.830625,49.70405129749528,5.01e-8,5.635291543226223,7.300162274132754
297.0975_4.498,277194.26383333333,2173.83505,127.51393618082169,4.75e-9,6.9945111196842085,8.323306390375134
333.0047_4.33,76562.82341666667,3508.3016916666666,21.82332938998027,4.42e-6,4.4477993124057695,5.354577730650908
333.0066_3.893,28658.545658333336,2271.1939,12.618273436862143,4.24e-5,3.6574426142027,4.372634143407267
335.0244_4.36,54492.522666666664,2168.9574583333333,25.12383193930402,5.79e-7,4.65098461875918,6.2373214362725635
363.021_3.933,12356.957891666667,1739.3382208333333,7.104401975221549,7.7e-4,2.828713213339468,3.113509274827518
363.0234_4.453,32143.423258333332,5508.598108333334,5.835136749168031,0.00353,2.5447664665641203,2.452225294612177
365.0863_4.095,20611.687,1459.2445,14.124902989183788,2.65e-6,3.8201690539193236,5.576754126063192
366.0851_4.55,8947.4515,2230.2570708333333,4.01184761031014,3.63e-4,2.004266806342587,3.4400933749638876
393.0495_3.605,14936.056166666667,3077.7628583333335,4.85289375892814,2.04e-5,2.278845276515617,4.690369832574101
429.0815_4.032,42218.705916666666,2220.6043433333334,19.01225945243918,1.65e-7,4.248858089636951,6.782516055786093
429.082_3.756,58037.625,2755.469685,21.062697701208787,2.87e-7,4.3966183228419125,6.542118103266008
429.083_3.201,23117.847216666665,1837.3189041666667,12.582381405993306,4.58e-7,3.6533330948050975,6.339134521996131
431.0979_3.907,47069.88858333333,1941.2859433333333,24.246757024630185,2.51e-7,4.599719896317021,6.600326278518962
433.0646_4.045,5999.680208333333,2267.6767095833334,2.645738778803141,0.00158,1.4036706273274673,2.8013429130455774
433.1136_4.519,62077.89641666666,15087.640841666667,4.114486623066326,2.99e-4,2.040712432454741,3.5243288116755704
433.113_4.886,161626.22008333335,2310.7015183333333,69.9468186613351,1.27e-7,6.128186536753608,6.896196279044043
445.0782_4.484,26888.40233333333,2924.441366666667,9.19437217644792,6.54e-6,3.2007510657901683,5.184422251675732
447.0928_3.777,9156.033116666667,2899.5404166666667,3.157753230145525,2.31e-4,1.6588984328967944,3.6363880201078556
447.092_4.187,22896.246958333333,8058.116,2.841389595078221,0.00846,1.506596659176819,2.0726296369609765
449.1074_4.301,9116.265616666667,1976.6171749999999,4.612054236889178,6.21e-5,2.2054094789114025,4.20690839982342
459.093_3.801,27391.31375,1650.7509333333333,16.59324444220618,2.91e-9,4.0525240958914335,8.536107011014092
493.1666_4.573,14010.166625,2910.7436416666665,4.813260235098513,3.61e-4,2.2670144265723855,3.4424927980943423
497.0695_3.785,12521.605866666667,1499.91895,8.348188324886932,3.9e-5,3.0614631462950492,4.4089353929735005
509.0384_0.699,11716.472666666667,1483.0334183333334,7.900342987438479,5.56e-6,2.98191528816761,5.2549252084179425
509.0409_3.291,19679.665,2520.2075250000003,7.808747813337316,3.34e-7,2.9650912207968267,6.476253533188435
521.1082_4.508,12096.440175,1222.1767054166667,9.8974560072932,3.36e-5,3.3070577497066487,4.473660722610156
525.0334_3.606,13008.269025,1290.6515433333334,10.078838933864263,3.09e-7,3.3332575471344343,6.510041520575165
593.3333_5.048,5551.54640625,1730.16727625,3.208676110371556,0.0358,1.6819781686961612,1.4461169733561257
605.1126_3.023,5957.074175,984.7872916666666,6.04909732833592,3.17e-5,2.596719873446022,4.498940737782249
617.1836_4.515,10547.85731,994.0104041666666,10.61141539946239,3.64e-4,3.4075451972846404,3.438898616350944
639.0783_3.758,5953.584908333333,918.144335,6.484367088463639,8.87e-5,2.696965766012024,4.052076380168273
