mz_rt,post.x,pre.x,FC_post_div_pre.x,p.x,log2_FC_post_div_pre.x,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post.y,pre.y,FC_post_div_pre.y,p.y,log2_FC_post_div_pre.y,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y,Matched.Compound,Matched.Form,Mass.Diff,Empirical.Compound
153.0193_3.42,50912.97009090909,17348.48631818182,2.934721171469036,5.83e-6,1.553223439060064,5.2343314452409855,153.0193,3.42,34036.939,153.0193_3.42,153.0193_3.42,1,57148.02872727273,24400.086363636365,2.342124034955912,2.39e-4,1.227817480569019,3.6216020990518625,153.0193,3.42,34036.939,153.0193_3.42,153.0193_3.42,1,C00628,M-H[-],6.47e-6,EC000115
181.0718_5.323,300338.45454545453,602710.8481818181,0.4983126742308979,0.037,-1.0048768264699148,1.431798275933005,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2,225103.7918181818,590141.3363636364,0.3814404752685824,1.54e-4,-1.3904701563991475,3.812479279163537,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2,C00794,M-H[-],7.65e-5,EC000129
181.0718_5.323,300338.45454545453,602710.8481818181,0.4983126742308979,0.037,-1.0048768264699148,1.431798275933005,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2,225103.7918181818,590141.3363636364,0.3814404752685824,1.54e-4,-1.3904701563991475,3.812479279163537,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2,C01507,M-H[-],7.65e-5,EC000129
181.0718_5.323,300338.45454545453,602710.8481818181,0.4983126742308979,0.037,-1.0048768264699148,1.431798275933005,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2,225103.7918181818,590141.3363636364,0.3814404752685824,1.54e-4,-1.3904701563991475,3.812479279163537,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2,C01697,M-H[-],7.65e-5,EC000129
183.1025_0.808,12826.186772727273,25768.946090909092,0.49773811965294784,0.0148,-1.0065412137428416,1.8297382846050425,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1,35315.72490909091,14467.338318181819,2.4410658085397707,0.0113,1.2875111891683093,1.9469215565165803,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1,C05956,M-2H[2-],1.73533e-4,EC000254
183.1025_0.808,12826.186772727273,25768.946090909092,0.49773811965294784,0.0148,-1.0065412137428416,1.8297382846050425,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1,35315.72490909091,14467.338318181819,2.4410658085397707,0.0113,1.2875111891683093,1.9469215565165803,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1,C05962,M-2H[2-],1.73533e-4,EC000254
208.976_0.787,93899.35863636364,37376.19107272727,2.512277360035231,0.0046,1.328995749204911,2.337242168318426,208.976,0.787,61363.9395,208.976_0.787,208.976_0.787,1,105646.80854545455,45378.699727272724,2.3281144938130636,0.00189,1.2191620099620843,2.7235381958267557,208.976,0.787,61363.9395,208.976_0.787,208.976_0.787,1,C01243,M-2H[2-],0.002076467,EC000162
208.976_0.787,93899.35863636364,37376.19107272727,2.512277360035231,0.0046,1.328995749204911,2.337242168318426,208.976,0.787,61363.9395,208.976_0.787,208.976_0.787,1,105646.80854545455,45378.699727272724,2.3281144938130636,0.00189,1.2191620099620843,2.7235381958267557,208.976,0.787,61363.9395,208.976_0.787,208.976_0.787,1,C01245,M-2H[2-],0.002076467,EC000162
232.0283_5.427,14425.701854545454,24335.208754545456,0.5927913748367146,0.0415,-0.7544036384224703,1.3819519032879073,232.0283,5.427,9917.189999999999,232.0283_5.427,232.0283_5.427,1,7820.078690909091,15206.800090909092,0.5142487994949102,0.0111,-0.959461574080296,1.9546770212133426,232.0283,5.427,9917.189999999999,232.0283_5.427,232.0283_5.427,1,C13690,M-H[-],2.23533e-4,EC000270
364.0847_1.046,913.7732540909091,1923.1491,0.47514425901294344,4.64e-5,-1.0735624968851385,4.333482019445119,364.0847,1.046,1665.73795,364.0847_1.046,364.0847_1.046,1,1491.2973454545454,2419.981536363636,0.6162432741926742,0.0411,-0.698428099184767,1.3861581781239307,364.0847,1.046,1665.73795,364.0847_1.046,364.0847_1.046,1,C14862,M-H[-],0.002676467,EC000276
